episode,avg_waiting_time,avg_queue_length,phase_changes,total_vehicles,passenger,emergency,bus,truck
1,634.8306789606036,13.164291701592624,106,470,470,0,0,0
2,471.2806041335453,10.879173290937997,101,467,467,0,0,0
3,809.1372688477952,14.776671408250355,91,533,533,0,0,0
4,922.5734214390602,14.6431718061674,97,529,529,0,0,0
5,557.5565819861432,13.035411855273287,91,542,542,0,0,0
6,889.2783505154639,15.683584456780332,97,511,511,0,0,0
7,430.3102605863192,9.941368078175897,108,456,456,0,0,0
8,431.6116352201258,10.32625786163522,109,463,463,0,0,0
9,371.3303787268332,9.879129734085415,99,456,456,0,0,0
10,368.25,9.865953947368421,104,472,472,0,0,0
11,559.6315359477125,11.209150326797385,105,489,489,0,0,0
12,846.0075872534143,14.18361153262519,101,512,512,0,0,0
13,547.7655897821187,10.605559729526671,104,487,487,0,0,0
14,381.22046589018305,10.656405990016639,105,452,452,0,0,0
15,495.7752332485157,11.622561492790501,103,457,457,0,0,0
16,710.0248397435897,13.664262820512821,108,477,477,0,0,0
17,470.5515342250197,10.708103855232102,107,458,458,0,0,0
18,405.36762360446573,10.347687400318978,97,496,496,0,0,0
19,318.37775891341255,9.202886247877759,104,468,468,0,0,0
20,896.1243484735667,15.798212956068504,97,544,544,0,0,0
21,429.36130536130537,10.382284382284382,103,482,482,0,0,0
22,449.38782318598834,10.531276063386155,103,456,456,0,0,0
23,409.9190800681431,10.28449744463373,102,449,449,0,0,0
24,329.60987654320985,9.02962962962963,104,442,442,0,0,0
25,667.8962188254224,12.441673370876911,98,484,484,0,0,0
26,407.8955792682927,9.762195121951219,115,458,458,0,0,0
27,306.92905982905984,8.925641025641026,104,444,444,0,0,0
28,633.5507358636715,12.601084430673897,93,545,545,0,0,0
29,371.0042052144659,10.105130361648444,104,444,444,0,0,0
30,815.4542728635682,12.793853073463268,105,481,481,0,0,0
31,603.7375415282391,11.789867109634551,103,475,475,0,0,0
32,342.46986970684037,9.07084690553746,107,466,466,0,0,0
33,328.0831315577078,9.552865213882162,96,482,482,0,0,0
34,362.5054759898905,9.98989048020219,104,436,436,0,0,0
35,404.4732824427481,10.162001696352842,100,467,467,0,0,0
36,285.71888230313294,8.843353090601186,103,446,446,0,0,0
37,448.25969645868463,10.60539629005059,102,463,463,0,0,0
38,461.8114558472554,11.11217183770883,99,479,479,0,0,0
39,530.1354992076069,12.094294770206023,98,481,481,0,0,0
40,350.6430894308943,9.235772357723578,98,484,484,0,0,0
41,415.3386973180077,10.24904214559387,103,500,500,0,0,0
42,393.4640316205534,9.861660079051383,100,501,501,0,0,0
43,330.7518740629685,9.363568215892053,95,509,509,0,0,0
44,347.03885135135135,9.340371621621621,102,437,437,0,0,0
45,274.1111111111111,8.528822055137844,106,451,451,0,0,0
46,300.8966365873667,9.344544708777686,96,474,474,0,0,0
47,337.86041009463725,9.628548895899053,99,483,483,0,0,0
48,454.15428109854605,11.064620355411956,106,489,489,0,0,0
49,267.7518796992481,7.843776106934001,106,447,447,0,0,0
50,347.190635451505,9.62876254180602,105,445,445,0,0,0
51,223.42571884984025,7.82667731629393,99,481,481,0,0,0
52,231.60845295055822,7.851674641148326,106,448,448,0,0,0
53,266.3747967479675,8.15609756097561,107,444,444,0,0,0
54,310.0239669421488,9.035537190082644,106,435,435,0,0,0
55,287.7930194805195,8.625,97,486,486,0,0,0
56,322.60583333333335,8.995,103,455,455,0,0,0
57,411.1522542498152,10.583148558758316,95,517,517,0,0,0
58,304.3672496025437,8.892686804451511,96,482,482,0,0,0
59,622.2731092436975,12.043697478991596,104,457,457,0,0,0
60,329.6097750193949,9.615981380915438,91,511,511,0,0,0
61,314.02919708029196,9.188158961881589,99,484,484,0,0,0
62,362.59167333867094,9.957566052842274,99,467,467,0,0,0
63,282.2994257588187,8.770303527481543,97,462,462,0,0,0
64,273.7135636057287,8.428812131423758,102,460,460,0,0,0
65,387.0420371867421,10.356507679870655,98,471,471,0,0,0
66,382.6471067644662,10.475957620211899,98,479,479,0,0,0
67,293.23083197389883,8.71288743882545,106,447,447,0,0,0
68,259.28149920255186,8.496012759170654,98,478,478,0,0,0
69,278.62412451361865,8.571206225680934,98,471,471,0,0,0
70,313.1985472154964,9.158999192897499,98,464,464,0,0,0
71,243.50300429184549,8.188841201716738,103,435,435,0,0,0
72,633.1161290322581,11.49758064516129,99,483,483,0,0,0
73,364.5531752104055,9.71920428462127,92,520,520,0,0,0
74,329.82572614107886,9.748547717842323,104,456,456,0,0,0
75,313.65824915824913,9.096801346801346,102,469,469,0,0,0
76,279.92121684867396,8.239469578783151,98,469,469,0,0,0
77,332.69905956112854,9.102664576802507,99,481,481,0,0,0
78,238.0584307178631,8.148580968280468,106,452,452,0,0,0
79,388.9378109452736,10.145936981757878,103,485,485,0,0,0
80,282.40916808149404,8.31918505942275,103,452,452,0,0,0
81,341.5287260616153,9.65278934221482,105,459,459,0,0,0
82,389.4438687392055,9.821243523316062,102,476,476,0,0,0
83,253.7627551020408,8.318027210884354,101,454,454,0,0,0
84,390.60893854748605,9.834796488427774,99,484,484,0,0,0
85,377.6941266209001,9.958047292143402,93,502,502,0,0,0
86,309.85677749360616,8.903665814151747,104,448,448,0,0,0
87,384.99846977811785,9.68477429227238,101,476,476,0,0,0
88,246.91059602649005,8.208609271523178,105,470,470,0,0,0
89,408.8510984540277,10.344995931651749,106,449,449,0,0,0
90,277.8698915763136,8.878231859883236,101,452,452,0,0,0
91,209.38584667228307,7.581297388374052,104,434,434,0,0,0
92,313.80115036976173,9.198027937551355,97,475,475,0,0,0
93,219.38520408163265,7.585884353741497,103,450,450,0,0,0
94,299.0359231411863,9.031746031746032,103,469,469,0,0,0
95,487.14607614607615,10.909090909090908,102,488,488,0,0,0
96,252.0594827586207,8.256896551724138,101,430,430,0,0,0
97,261.93993993993996,8.18018018018018,106,465,465,0,0,0
98,231.41938250428817,7.756432246998285,103,441,441,0,0,0
99,263.1327868852459,8.361475409836066,96,475,475,0,0,0
100,244.51735537190083,8.411570247933884,97,478,478,0,0,0
101,231.46671949286846,7.591917591125198,99,454,454,0,0,0
102,331.30194552529184,9.243579766536964,92,513,513,0,0,0
103,248.54947707160096,8.324215607401449,96,480,480,0,0,0
104,256.84608843537416,8.203231292517007,103,447,447,0,0,0
105,290.5783738474434,8.658843252305113,104,464,464,0,0,0
106,337.4635544635545,9.414414414414415,97,486,486,0,0,0
107,355.7834101382488,8.998463901689709,102,465,465,0,0,0
108,192.83560477001703,7.160988074957411,101,428,428,0,0,0
109,334.9788679245283,9.063396226415094,105,475,475,0,0,0
110,308.2075876879027,8.879026485325697,100,510,510,0,0,0
111,216.6663829787234,7.752340425531915,102,438,438,0,0,0
112,270.93338884263113,8.343047460449625,103,460,460,0,0,0
113,277.03931623931624,8.747008547008546,102,427,427,0,0,0
114,294.7196581196581,9.007692307692308,101,472,472,0,0,0
115,237.19458544839256,8.17005076142132,104,437,437,0,0,0
116,215.39267461669505,7.762350936967632,101,462,462,0,0,0
117,198.02047502047503,7.055692055692056,108,456,456,0,0,0
118,335.8834555827221,9.356968215158924,96,465,465,0,0,0
119,258.4693548387097,8.481451612903227,96,476,476,0,0,0
120,387.45577085088456,8.841617523167649,104,432,432,0,0,0
121,259.12253641816625,8.464438731790917,103,438,438,0,0,0
122,202.70694087403598,7.689802913453299,102,417,417,0,0,0
123,275.6096385542169,8.6570281124498,98,467,467,0,0,0
124,226.20868824531516,8.00511073253833,101,446,446,0,0,0
125,248.94365138993237,7.685199098422239,116,452,452,0,0,0
126,240.0392609699769,7.827559661277906,100,486,486,0,0,0
127,287.579791499599,8.249398556535686,108,432,432,0,0,0
128,283.2215088282504,8.695024077046549,94,496,496,0,0,0
129,244.07646559048428,8.147833474936279,103,422,422,0,0,0
130,286.29731925264014,8.844841592201462,98,461,461,0,0,0
131,253.97175141242937,8.36723163841808,99,469,469,0,0,0
132,243.59034138218152,7.938384679433805,104,452,452,0,0,0
133,353.04627450980394,9.613333333333333,99,482,482,0,0,0
134,202.69614147909968,7.119774919614148,109,414,414,0,0,0
135,247.22306397306397,8.122053872053872,102,437,437,0,0,0
136,247.69565217391303,8.052502050861362,97,454,454,0,0,0
137,208.60577740016993,7.500424808836024,105,402,402,0,0,0
138,240.5979381443299,8.186360031720856,99,468,468,0,0,0
139,256.241935483871,8.102716468590831,101,448,448,0,0,0
140,252.15891800507185,8.1614539306847,103,440,440,0,0,0
141,237.92741312741313,7.647104247104247,101,460,460,0,0,0
142,328.44353518821606,9.216039279869067,98,446,446,0,0,0
143,266.7697160883281,8.192429022082019,101,460,460,0,0,0
144,221.47594501718214,7.357388316151202,102,446,446,0,0,0
145,343.4394409937888,9.513975155279503,89,495,495,0,0,0
146,212.4194659776055,7.833763996554694,101,441,441,0,0,0
147,232.89027237354085,7.52295719844358,111,450,450,0,0,0
148,267.3612648221344,8.443478260869565,100,477,477,0,0,0
149,208.43859649122808,7.525518341307815,96,452,452,0,0,0
150,219.36703483432456,7.772302463891249,102,435,435,0,0,0
151,291.2213181448332,8.544344995931652,97,489,489,0,0,0
152,233.73710073710075,7.9287469287469285,97,465,465,0,0,0
153,217.32303839732887,8.030884808013356,102,440,440,0,0,0
154,221.53924914675767,7.695392491467577,102,440,440,0,0,0
155,198.893760539629,7.442664418212479,101,445,445,0,0,0
156,235.710302091402,7.103795507358637,111,439,439,0,0,0
157,231.6922486569455,7.711435149654643,103,459,459,0,0,0
158,228.66525063721326,7.710280373831775,103,425,425,0,0,0
159,238.69427244582045,8.171826625386997,89,512,512,0,0,0
160,187.59560067681895,7.241962774957699,104,416,416,0,0,0
161,188.21194280908327,6.925988225399496,104,445,445,0,0,0
162,263.58686257562664,8.762316335350043,102,421,421,0,0,0
163,270.85945945945946,8.446332046332046,102,462,462,0,0,0
164,244.5360501567398,8.221003134796238,90,489,489,0,0,0
165,201.28692699490662,7.363327674023769,104,435,435,0,0,0
166,218.30724396336387,7.697751873438801,104,445,445,0,0,0
167,202.28303495311167,7.144927536231884,104,439,439,0,0,0
168,231.07364975450082,8.018821603927988,98,442,442,0,0,0
169,177.2904884318766,7.003427592116538,102,410,410,0,0,0
170,237.94259567387687,7.687188019966722,105,431,431,0,0,0
171,292.78934817170114,8.999205087440382,99,461,461,0,0,0
172,276.417791898332,8.236695790309769,97,456,456,0,0,0
173,301.288961038961,8.767045454545455,97,481,481,0,0,0
174,252.9228896103896,8.069805194805195,96,503,503,0,0,0
175,251.57154340836013,8.428456591639872,97,479,479,0,0,0
176,247.953216374269,7.861111111111111,99,471,471,0,0,0
177,210.32933104631218,7.715265866209262,102,455,455,0,0,0
178,221.31841216216216,7.652027027027027,104,454,454,0,0,0
179,283.1371571072319,8.75062344139651,105,429,429,0,0,0
180,328.7697111631538,9.198282591725215,90,509,509,0,0,0
181,211.6818181818182,7.521043771043771,104,437,437,0,0,0
182,182.4449225473322,7.301204819277109,103,426,426,0,0,0
183,159.66983578219532,6.704407951598963,103,396,396,0,0,0
184,309.6943089430894,9.367479674796748,97,475,475,0,0,0
185,214.1528608027327,7.479077711357814,104,402,402,0,0,0
186,255.18112633181127,7.654490106544901,114,470,470,0,0,0
187,241.80517380759903,8.30800323362975,98,468,468,0,0,0
188,195.72615131578948,7.171875,102,418,418,0,0,0
189,219.21160409556313,7.563139931740614,101,433,433,0,0,0
190,267.04572396274347,8.172734970364099,101,450,450,0,0,0
191,199.8260511129431,7.397361912613356,96,465,465,0,0,0
192,305.59302325581393,9.21782945736434,98,490,490,0,0,0
193,208.02676399026765,7.430656934306569,108,436,436,0,0,0
194,233.2126050420168,8.026050420168067,103,450,450,0,0,0
195,191.757225433526,7.236994219653179,103,436,436,0,0,0
196,165.36762225969645,6.627318718381113,100,422,422,0,0,0
197,275.0264681555004,8.241521918941274,104,421,421,0,0,0
198,222.75321543408361,7.595659163987138,96,446,446,0,0,0
199,264.8602584814216,8.529886914378029,95,483,483,0,0,0
200,135.88006902502158,6.212251941328732,102,399,399,0,0,0
201,135.88006902502158,6.212251941328732,102,399,399,0,0,0
202,135.88006902502158,6.212251941328732,102,399,399,0,0,0
203,135.88006902502158,6.212251941328732,102,399,399,0,0,0
204,135.88006902502158,6.212251941328732,102,399,399,0,0,0
205,135.88006902502158,6.212251941328732,102,399,399,0,0,0
206,135.88006902502158,6.212251941328732,102,399,399,0,0,0
207,135.88006902502158,6.212251941328732,102,399,399,0,0,0
208,135.88006902502158,6.212251941328732,102,399,399,0,0,0
209,483.56988521269415,11.895340985820392,73,692,692,0,0,0
210,483.56988521269415,11.895340985820392,73,692,692,0,0,0
211,135.88006902502158,6.212251941328732,102,399,399,0,0,0
212,135.88006902502158,6.212251941328732,102,399,399,0,0,0
